1248338357656129538,2020-04-09 19:53:52,"-7.1207, -34.8627",pt,b'',"b'Uma empresa paraibana est\xc3\xa1 vendendo testes r\xc3\xa1pidos para a detec\xc3\xa7\xc3\xa3o de covid-19. O grupo ANT est\xc3\xa1 vendendo os testes por R$ 330,00 e disponibiliza uma enfermeira para ir \xc3\xa0 resid\xc3\xaancia do interessado realizar a coleta.\xe2\x80\xa6 https://t.co/6dimS4h1WT'"
1248338325758291968,2020-04-09 19:53:44,"12.7866276, 80.2250841",en,b'',"b'One side the Nature warns you with COVID-19 to make us realize her importance..  And on the other side she embraces by a shower !\n\nNature, a marvellous wonder by itself ! @ Kelambbakam\xe2\x80\xa6 https://t.co/jCqhG5uHEA'"
1248338109663776768,2020-04-09 19:52:53,"40.6303, -74.0889",und,b'calltoservice serveyourcountry joinarmychallenge \xd1\x80\xd0\xb5\xd0\xba\xd1\x80\xd1\x83\xd1\x82\xd0\xb5\xd1\x80\xd0\xb0\xd1\x80\xd0\xbc\xd0\xb8\xd0\xb8\xd1\x81\xd1\x88\xd0\xb0 \xd0\xba\xd0\xbe\xd1\x80\xd0\xbe\xd0\xbd\xd0\xb0 covid covid19 stability quarantine quarantinelife quarantineandpaid',b'We are operating virtually. \xd0\x9c\xd1\x8b \xd1\x80\xd0\xb0\xd0\xb1\xd0\xbe\xd1\x82\xd0\xb0\xd0\xb5\xd0\xbc \xd0\xb2\xd0\xb8\xd1\x80\xd1\x82\xd1\x83\xd0\xb0\xd0\xbb\xd1\x8c\xd0\xbd\xd0\xbe.\n\n#calltoservice #serveyourcountry #joinarmychallenge #\xd1\x80\xd0\xb5\xd0\xba\xd1\x80\xd1\x83\xd1\x82\xd0\xb5\xd1\x80\xd0\xb0\xd1\x80\xd0\xbc\xd0\xb8\xd0\xb8\xd1\x81\xd1\x88\xd0\xb0 #\xd0\xba\xd0\xbe\xd1\x80\xd0\xbe\xd0\xbd\xd0\xb0 #covid #covid19 #stability #quarantine #quarantinelife #quarantineandpaid @ Staten\xe2\x80\xa6 https://t.co/AxXNf7HC2x'
1248338104915722243,2020-04-09 19:52:51,"40.45, -3.65",es,b'covid estadodealarma',"b'Alg\xc3\xban medio afirma que habr\xc3\xa1 CONFINAMIENTO hasta el 11 de Mayo.  Como poco...#covid #estadodealarma en Ciudad Lineal, Madrid, Spain https://t.co/BPFdxsezOg'"
1248337693077102592,2020-04-09 19:51:13,"-25.4728008, 30.9804368",en,b'Coyotes_Group',b'Due to COVID-19 Lock Down Extension to 30th of April. \nShisa Nyama Nelspruit will remain closed till the fight on Corona Virus is over. We are sorry for any inconvenience caused. \n#Coyotes_Group\xe2\x80\xa6 https://t.co/eKd2uj2vmk'
1248337604040429568,2020-04-09 19:50:52,"38.2578, -122.054",en,b'imsmiling covid_19',"b'My sister-in-law made masks for us. #imsmiling #covid_19 @ Fairfield, California https://t.co/dnFRPzozcu'"
1248337233578536960,2020-04-09 19:49:24,"7.7667, -72.2333",es,b'QuedateEnCasa SoloQueremosSalvarVidas TachiraSeQuedaEnCasa',b'Proceso de desinfecci\xc3\xb3n para prevenir el contagio del COVID-19... En el Garz\xc3\xb3n de La Rotar\xc3\xada #QuedateEnCasa  #SoloQueremosSalvarVidas #TachiraSeQuedaEnCasa jaiberth26 @laidygomezf @PCivil_Ve gobiernotachira en San\xe2\x80\xa6 https://t.co/Y6Uorjdvhv'
1248337148090015745,2020-04-09 19:49:03,"18.4596876, -69.9485084",es,b'',b'Coronavirus: por qu\xc3\xa9 la pandemia de covid-19 podr\xc3\xada fortalecer los autoritarismos y debilitar las democracias https://t.co/Oe0zux7yPV'
1248337040137125893,2020-04-09 19:48:38,"43.46436, -3.80049",es,b'abril2020 covid_19',b'#abril2020 #covid_19 en Discos Cucos https://t.co/SqzWyvq3ah'
1248335870194827264,2020-04-09 19:43:59,"25.39690325, 55.42194818",en,b'',"b'COVID-19 is the abbreviated name for novel coronavirus disease 2019, which is a respiratory illness that spreads from person to person. \xc2\xa0The virus that causes COVID-19 is a novel coronavirus which was first\xe2\x80\xa6 https://t.co/9cuqx6ZqZb'"
